store,category,domain,website,x_link,hunter_domain_search,linkedin_search,channel,note,quick_check_command,exact_pitch,best_email,public_emails,contact_pages_checked,linkedin_profiles_found,x_profiles_found,instagram_profiles_found,facebook_profiles_found,tiktok_profiles_found,youtube_profiles_found,enrichment_status,crawl_notes,email_confidence,email_source_url,public_profile_links,profile_status
Buck Mason,Apparel & eyewear,buckmason.com,https://buckmason.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Buck%20Mason%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness buckmason.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Buck Mason, I’d start with variant selection, size/color choices, and the cart-to-checkout path on buckmason.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Buck Mason?",help@buckmason.com,help@buckmason.com; media@buckmason.com,https://buckmason.com/pages/contact-us-1; https://buckmason.com/pages/support; https://buckmason.com/help; https://buckmason.com/pages/help; https://buckmason.com/customer-service,,,https://instagram.com/buckmason,https://facebook.com/buckmason,,,email+profile,,site_crawl,https://buckmason.com/pages/contact-us-1,https://instagram.com/buckmason; https://facebook.com/buckmason,direct_profile_found
Tracksmith,Apparel & eyewear,tracksmith.com,https://tracksmith.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Tracksmith%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness tracksmith.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Tracksmith, I’d start with variant selection, size/color choices, and the cart-to-checkout path on tracksmith.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Tracksmith?",support@tracksmith.com,support@tracksmith.com; press@tracksmith.com,https://tracksmith.com/contact; https://tracksmith.com/contact-us; https://tracksmith.com/pages/contact; https://tracksmith.com/pages/contact-us; https://tracksmith.com/pages/contact-us-1,,https://twitter.com/tracksmith,https://instagram.com/tracksmithrunning,https://facebook.com/tracksmithrunning,,https://youtube.com/channel/UCl7frHzrQKwFezjy_grRppA,email+profile,,site_crawl,https://tracksmith.com/contact,https://twitter.com/tracksmith; https://instagram.com/tracksmithrunning; https://facebook.com/tracksmithrunning; https://youtube.com/channel/UCl7frHzrQKwFezjy_grRppA,direct_profile_found
Janji,Apparel & eyewear,janji.com,https://janji.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Janji%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness janji.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Janji, I’d start with variant selection, size/color choices, and the cart-to-checkout path on janji.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Janji?",wholesale@janji.com,wholesale@janji.com; support@janji.com,https://janji.com/contact; https://janji.com/contact-us; https://janji.com/pages/contact; https://janji.com/pages/contact-us; https://janji.com/pages/contact-us-1,,,https://instagram.com/runjanji,,,,email+profile,,site_crawl,https://janji.com/contact,https://instagram.com/runjanji,direct_profile_found
Bandit Running,Apparel & eyewear,banditrunning.com,https://banditrunning.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Bandit%20Running%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness banditrunning.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Bandit Running, I’d start with variant selection, size/color choices, and the cart-to-checkout path on banditrunning.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Bandit Running?",support@banditrunning.com,support@banditrunning.com,https://banditrunning.com/contact; https://banditrunning.com/contact-us; https://banditrunning.com/pages/contact; https://banditrunning.com/pages/contact-us; https://banditrunning.com/pages/contact-us-1,,,https://instagram.com/bandit,https://facebook.com/banditrunningnyc,,https://youtube.com/channel/UCZH2jjGPYtxPhyGmfzs6vDA,email+profile,,site_crawl,https://banditrunning.com/contact,https://instagram.com/bandit; https://facebook.com/banditrunningnyc; https://youtube.com/channel/UCZH2jjGPYtxPhyGmfzs6vDA,direct_profile_found
Goodr,Apparel & eyewear,goodr.com,https://goodr.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Goodr%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness goodr.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Goodr, I’d start with variant selection, size/color choices, and the cart-to-checkout path on goodr.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Goodr?",retailsupport@goodr.com,retailsupport@goodr.com,https://goodr.com/contact-us; https://goodr.com/pages/contact-us-1; https://goodr.com/pages/support; https://goodr.com/pages/customer-service; https://goodr.com/about,,https://x.com/goodr,https://instagram.com/goodr,https://facebook.com/goodrUSA,https://tiktok.com/@goodr,https://youtube.com/channel/UCsxfWO2Z5p1k_zo_cHf-O8g,email+profile,,high_b2b,https://goodr.com/pages/retailer,https://x.com/goodr; https://instagram.com/goodr; https://facebook.com/goodrUSA; https://tiktok.com/@goodr; https://youtube.com/channel/UCsxfWO2Z5p1k_zo_cHf-O8g,direct_profile_found
Jones Road Beauty,Beauty & personal care,jonesroadbeauty.com,https://jonesroadbeauty.com,https://x.com/codyplof,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Jones%20Road%20Beauty%20founder%20ecommerce,manual_dm,Cody Plofker (@codyplof) — DM,bun packages/audit/src/cli.ts readiness jonesroadbeauty.com --max-pages 3 --skip-checkout,"Hey Cody Plofker, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Jones Road Beauty, I’d look at shade, bundle, and subscription-style product choices plus the cart-to-checkout path. I’m running 20 founding audits at $99: readiness score, order classification, and dispute exposure. Ten minutes of setup. Want me to run jonesroadbeauty.com?",press@jonesroadbeauty.com,press@jonesroadbeauty.com; hi@jonesroadbeauty.com; 20press@jonesroadbeauty.com; marketing@jonesroadbeauty.com; 20marketing@jonesroadbeauty.com,https://jonesroadbeauty.com/contact; https://jonesroadbeauty.com/contact-us; https://jonesroadbeauty.com/pages/contact; https://jonesroadbeauty.com/pages/contact-us; https://jonesroadbeauty.com/pages/contact-us-1,,https://twitter.com/jonesroadbeauty,https://instagram.com/jonesroadbeauty,https://facebook.com/jonesroadbeauty,,https://youtube.com/watch,email+profile,,site_crawl,https://jonesroadbeauty.com/contact,https://x.com/codyplof; https://twitter.com/jonesroadbeauty; https://instagram.com/jonesroadbeauty; https://facebook.com/jonesroadbeauty; https://youtube.com/watch,direct_profile_found
Topicals,Beauty & personal care,mytopicals.com,https://mytopicals.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Topicals%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness mytopicals.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Topicals, I’d start with shade, bundle, and subscription-style product choices plus the cart-to-checkout path on mytopicals.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Topicals?",help@mytopicals.com,help@mytopicals.com,https://mytopicals.com/contact; https://mytopicals.com/contact-us; https://mytopicals.com/pages/contact; https://mytopicals.com/pages/contact-us; https://mytopicals.com/pages/contact-us-1,,https://x.com/topicals,https://instagram.com/topicals,,https://tiktok.com/@topicals,https://youtube.com/@mytopicals,email+profile,,site_crawl,https://mytopicals.com/contact,https://x.com/topicals; https://instagram.com/topicals; https://tiktok.com/@topicals; https://youtube.com/@mytopicals,direct_profile_found
Starface,Beauty & personal care,starface.world,https://starface.world,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Starface%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness starface.world --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Starface, I’d start with shade, bundle, and subscription-style product choices plus the cart-to-checkout path on starface.world. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Starface?",hello@starfaceworld.com,hello@starfaceworld.com; press@starfaceworld.com,https://starface.world/contact; https://starface.world/contact-us; https://starface.world/pages/contact; https://starface.world/pages/contact-us; https://starface.world/pages/contact-us-1,,https://twitter.com/starface,https://instagram.com/starface,,https://tiktok.com/@starface,,email+profile,,site_crawl,https://starface.world/contact,https://twitter.com/starface; https://instagram.com/starface; https://tiktok.com/@starface,direct_profile_found
Bubble,Beauty & personal care,hellobubble.com,https://hellobubble.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Bubble%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness hellobubble.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Bubble, I’d start with shade, bundle, and subscription-style product choices plus the cart-to-checkout path on hellobubble.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Bubble?",press@hellobubble.com,press@hellobubble.com; pr@hellobubble.com; jobs@hellobubble.com; love@hellobubble.com,https://hellobubble.com/contact; https://hellobubble.com/contact-us; https://hellobubble.com/pages/contact; https://hellobubble.com/pages/contact-us; https://hellobubble.com/pages/contact-us-1,,,https://instagram.com/bubble,,https://tiktok.com/@bubble,https://youtube.com/channel/UC-OvJ7E5XC9Wlqk90eZaOvQ,email+profile,,site_crawl,https://hellobubble.com/contact,https://instagram.com/bubble; https://tiktok.com/@bubble; https://youtube.com/channel/UC-OvJ7E5XC9Wlqk90eZaOvQ,direct_profile_found
Geologie,Beauty & personal care,geologie.com,https://geologie.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Geologie%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness geologie.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Geologie, I’d start with shade, bundle, and subscription-style product choices plus the cart-to-checkout path on geologie.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Geologie?",help@geologie.com,help@geologie.com,https://geologie.com/contact; https://geologie.com/contact-us; https://geologie.com/pages/contact; https://geologie.com/pages/contact-us; https://geologie.com/pages/contact-us-1,https://linkedin.com/company/geologieskin,https://twitter.com/mygeologie,https://instagram.com/geologie,https://facebook.com/Geologie-152640102078594,https://tiktok.com/@geologie,https://m.youtube.com/channel/UCVB0jKoY_qur6uizYzMCCeQ; https://youtube.com/@mygeologie,email+profile,,high,https://faq.geologie.com/article/v52rg2vm84-how-do-i-cancel-my-subscription,https://linkedin.com/company/geologieskin; https://twitter.com/mygeologie; https://instagram.com/geologie; https://facebook.com/Geologie-152640102078594; https://tiktok.com/@geologie; https://m.youtube.com/channel/UCVB0jKoY_qur6uizYzMCCeQ; https://youtube.com/@mygeologie,direct_profile_found
Oars + Alps,Beauty & personal care,oarsandalps.com,https://oarsandalps.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Oars%20%2B%20Alps%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness oarsandalps.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Oars + Alps, I’d start with shade, bundle, and subscription-style product choices plus the cart-to-checkout path on oarsandalps.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Oars + Alps?",hi@oarsandalps.com,hi@oarsandalps.com,https://oarsandalps.com/contact; https://oarsandalps.com/contact-us; https://oarsandalps.com/pages/contact; https://oarsandalps.com/pages/contact-us; https://oarsandalps.com/pages/contact-us-1,,https://twitter.com/oarsandalps,https://instagram.com/oarsandalps; https://instagram.com/p/DAyr7vzpSQI; https://instagram.com/p/DFtGlg3P33M; https://instagram.com/p/DG6QDJuJXBx; https://instagram.com/p/DH4Ch3YJmRE,https://facebook.com/oarsandalps,,https://youtube.com/channel/UCtDPDFX47oQDiGinhWDFyPw,email+profile,,site_crawl,https://oarsandalps.com/contact,https://twitter.com/oarsandalps; https://instagram.com/oarsandalps; https://instagram.com/p/DAyr7vzpSQI; https://instagram.com/p/DFtGlg3P33M; https://instagram.com/p/DG6QDJuJXBx; https://instagram.com/p/DH4Ch3YJmRE; https://facebook.com/oarsandalps; https://youtube.com/channel/UCtDPDFX47oQDiGinhWDFyPw,direct_profile_found
Duke Cannon,Beauty & personal care,dukecannon.com,https://dukecannon.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Duke%20Cannon%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness dukecannon.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Duke Cannon, I’d start with shade, bundle, and subscription-style product choices plus the cart-to-checkout path on dukecannon.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Duke Cannon?",support@dukecannon.com,support@dukecannon.com; u003esupport@dukecannon.com,https://dukecannon.com/contact-us; https://dukecannon.com/pages/contact; https://dukecannon.com/pages/contact-us; https://dukecannon.com/pages/contact-us-1; https://dukecannon.com/pages/support,,https://twitter.com/DukeCannon,https://instagram.com/dukecannon,https://facebook.com/DukeCannonSupplyCo,https://tiktok.com/@dukecannon,,email+profile,,site_crawl,https://dukecannon.com/contact-us,https://twitter.com/DukeCannon; https://instagram.com/dukecannon; https://facebook.com/DukeCannonSupplyCo; https://tiktok.com/@dukecannon,direct_profile_found
Beardbrand,Beauty & personal care,beardbrand.com,https://beardbrand.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Beardbrand%20founder%20ecommerce,manual_dm,"Eric Bandholz — eCommerceFuel regular, DM",bun packages/audit/src/cli.ts readiness beardbrand.com --max-pages 3 --skip-checkout,"Hey Eric Bandholz, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Beardbrand, I’d look at shade, bundle, and subscription-style product choices plus the cart-to-checkout path. I’m running 20 founding audits at $99: readiness score, order classification, and dispute exposure. Ten minutes of setup. Want me to run beardbrand.com?",support@beardbrand.com,support@beardbrand.com,https://beardbrand.com/pages/contact; https://beardbrand.com/pages/contact-us; https://beardbrand.com/pages/contact-us-1; https://beardbrand.com/support; https://beardbrand.com/pages/support,,https://twitter.com/beardbrand,https://instagram.com/beardbrand,https://facebook.com/beardbrand,https://tiktok.com/@beardbrand,https://youtube.com/beardbrand,email+profile,,site_crawl,https://beardbrand.com/pages/contact,https://twitter.com/beardbrand; https://instagram.com/beardbrand; https://facebook.com/beardbrand; https://tiktok.com/@beardbrand; https://youtube.com/beardbrand,direct_profile_found
Boka,Beauty & personal care,boka.com,https://boka.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Boka%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness boka.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Boka, I’d start with shade, bundle, and subscription-style product choices plus the cart-to-checkout path on boka.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Boka?",hello@boka.com,hello@boka.com,https://boka.com/contact; https://boka.com/contact-us; https://boka.com/pages/contact; https://boka.com/pages/contact-us; https://boka.com/pages/contact-us-1,,,https://instagram.com/boka,https://facebook.com/loveyourboka,https://tiktok.com/@loveyourboka,,email+profile,,site_crawl,https://boka.com/contact,https://instagram.com/boka; https://facebook.com/loveyourboka; https://tiktok.com/@loveyourboka,direct_profile_found
